census_tract_id_2010,drive_time_avg,year
39061000200,18,2021
39061000700,12.7,2021
39061000900,12.6,2021
39061001000,12,2021
39061001100,12,2021
39061001600,12,2021
39061001700,12,2021
39061001800,12,2021
39061001900,12,2021
39061002000,12,2021
39061002200,12,2021
39061002300,12,2021
39061002500,12,2021
39061002600,12,2021
39061002700,12,2021
39061002800,14.3,2021
39061002900,12,2021
39061003000,8.4,2021
39061003200,6,2021
39061003300,7.2,2021
39061003600,12,2021
39061003700,12,2021
39061003800,11.9,2021
39061003900,12,2021
39061004000,12,2021
39061004100,12,2021
39061004200,12.5,2021
39061004500,23.6,2021
39061004602,29.2,2021
39061004603,29.5,2021
39061004604,28.6,2021
39061004605,29.3,2021
39061004701,19.7,2021
39061004702,26.4,2021
39061004800,23.2,2021
39061004900,17.7,2021
39061005000,17.5,2021
39061005100,19.6,2021
39061005200,18,2021
39061005301,18,2021
39061005302,22.2,2021
39061005400,18.2,2021
39061005500,21.8,2021
39061005600,24.6,2021
39061005701,24,2021
39061005702,20.1,2021
39061005800,23,2021
39061005900,19,2021
39061006000,19.9,2021
39061006100,18,2021
39061006300,17.7,2021
39061006400,14.8,2021
39061006500,11.8,2021
39061006600,10.2,2021
39061006800,7.3,2021
39061006900,6,2021
39061007000,7.6,2021
39061007100,11.1,2021
39061007200,11.9,2021
39061007300,13.9,2021
39061007400,12,2021
39061007500,16.7,2021
39061007700,17.3,2021
39061007800,12.7,2021
39061007900,17.6,2021
39061008000,17.3,2021
39061008100,17.4,2021
39061008201,21.1,2021
39061008202,19.7,2021
39061008300,23.5,2021
39061008400,19.2,2021
39061008501,18.2,2021
39061008502,18,2021
39061008601,18,2021
39061008800,18.7,2021
39061009200,18.5,2021
39061009300,18.3,2021
39061009400,23.2,2021
39061009500,24,2021
39061009600,21.8,2021
39061009700,24,2021
39061009800,23.6,2021
39061009901,25.1,2021
39061009902,24.4,2021
39061010002,20,2021
39061010003,23.7,2021
39061010004,24,2021
39061010005,24,2021
39061010100,22.9,2021
39061010201,27.3,2021
39061010202,24,2021
39061010300,23.4,2021
39061010400,32.2,2021
39061010500,36,2021
39061010600,40.6,2021
39061010700,26.5,2021
39061010800,18,2021
39061010900,28.1,2021
39061011000,18,2021
39061011100,19.6,2021
39061020401,41.4,2021
39061020403,38.6,2021
39061020404,37.4,2021
39061020501,33.7,2021
39061020502,37.5,2021
39061020504,37.8,2021
39061020505,31.4,2021
39061020601,27.6,2021
39061020602,28.3,2021
39061020701,28.9,2021
39061020705,27.5,2021
39061020707,27.9,2021
39061020741,30,2021
39061020742,30,2021
39061020761,24,2021
39061020762,24,2021
39061020802,23.5,2021
39061020811,23.2,2021
39061020812,24.1,2021
39061020901,28.5,2021
39061020902,24.8,2021
39061021001,29.6,2021
39061021002,30,2021
39061021003,30,2021
39061021101,31.3,2021
39061021102,35.7,2021
39061021201,30.5,2021
39061021202,29.9,2021
39061021302,34.2,2021
39061021303,30,2021
39061021304,31.2,2021
39061021401,27.8,2021
39061021421,29.8,2021
39061021422,24.1,2021
39061021501,34.1,2021
39061021504,35.2,2021
39061021505,36,2021
39061021506,35.8,2021
39061021508,38.3,2021
39061021509,32.5,2021
39061021571,36,2021
39061021572,35.8,2021
39061021602,27.8,2021
39061021603,30,2021
39061021604,28.5,2021
39061021701,27.1,2021
39061021702,25.1,2021
39061021801,24,2021
39061021802,24,2021
39061021900,24,2021
39061022000,32.5,2021
39061022101,28.7,2021
39061022102,24,2021
39061022200,18.9,2021
39061022301,30.9,2021
39061022302,33.5,2021
39061022400,29.7,2021
39061022500,29.1,2021
39061022601,24.2,2021
39061022602,24,2021
39061022700,24,2021
39061023001,30.9,2021
39061023002,30,2021
39061023100,27,2021
39061023201,21.2,2021
39061023210,24.1,2021
39061023222,21.6,2021
39061023300,23.2,2021
39061023400,20.7,2021
39061023501,29.2,2021
39061023521,30,2021
39061023522,25.5,2021
39061023600,24,2021
39061023701,24,2021
39061023702,24,2021
39061023800,23.4,2021
39061023901,30,2021
39061023902,28.4,2021
39061024001,24,2021
39061024002,25.3,2021
39061024100,25.9,2021
39061024200,24.1,2021
39061024301,34.1,2021
39061024303,41,2021
39061024321,36.8,2021
39061024322,35,2021
39061024400,31.8,2021
39061024700,24.2,2021
39061024800,29.1,2021
39061024901,33.3,2021
39061024902,33,2021
39061025001,30,2021
39061025002,25.9,2021
39061025101,36,2021
39061025102,32.1,2021
39061025103,28.5,2021
39061025104,26.3,2021
39061025200,18,2021
39061025300,18,2021
39061025401,17.5,2021
39061025402,15.4,2021
39061025500,13.3,2021
39061025600,12,2021
39061025700,15.2,2021
39061025800,12,2021
39061026001,39.8,2021
39061026002,38.6,2021
39061026101,37.3,2021
39061026102,40.8,2021
39061026200,36.4,2021
39061026300,18,2021
39061026400,17.3,2021
39061026500,15.6,2021
39061026600,17.4,2021
39061026700,12,2021
39061026800,12,2021
39061026900,14,2021
39061027000,7.2,2021
39061027100,18,2021
39061027200,18,2021
39061027300,36,2021
39061027400,22.2,2021
