census_tract_id_2010,Total,Personal,Murder,Rape,Robbery,Assault,Property,Burglary,Theft,MotVeh,year
39061024800,103,25,37,19,42,20,116,49,143,39,2020
39061024901,70,38,43,27,57,33,75,71,79,54,2020
39061025002,40,27,40,87,22,18,42,89,33,24,2020
39061025104,84,65,105,61,110,48,87,121,82,68,2020
39061025102,37,25,19,58,42,13,39,43,42,10,2020
39061024902,22,13,17,17,10,13,24,43,20,13,2020
39061025101,21,10,10,31,7,8,23,31,23,12,2020
39061025001,60,29,17,92,50,12,65,59,74,9,2020
39061008601,326,455,784,437,581,406,303,446,267,324,2020
39061008800,142,267,619,334,283,244,121,312,80,89,2020
39061009200,220,287,581,352,320,259,209,368,177,165,2020
39061009300,221,332,673,446,421,275,202,327,176,170,2020
39061009400,237,385,757,429,522,321,212,375,177,186,2020
39061009500,204,317,656,416,368,276,185,333,151,177,2020
39061009600,142,207,506,171,300,173,130,274,89,180,2020
39061027400,137,129,361,92,212,100,138,166,137,99,2020
39061027300,48,31,38,25,61,20,51,76,46,44,2020
39061025103,62,28,26,31,60,17,67,77,69,38,2020
39061006000,127,134,271,164,212,98,126,190,115,102,2020
39061022302,81,28,28,39,55,17,90,93,97,38,2020
39061023100,224,57,32,43,59,58,252,91,314,82,2020
39061023222,108,56,38,77,73,47,117,82,135,48,2020
39061009700,166,230,464,316,269,197,155,268,131,142,2020
39061009800,217,290,584,295,373,252,205,345,175,180,2020
39061009901,65,76,137,158,83,59,63,154,41,67,2020
39061009902,91,132,262,202,137,117,84,186,64,56,2020
39061010002,162,255,544,370,266,227,146,297,119,80,2020
39061010201,135,131,195,157,194,102,136,178,132,90,2020
39061010202,125,159,338,190,239,121,120,208,94,155,2020
39061023501,82,24,27,69,25,16,92,51,111,26,2020
39061023901,60,19,16,36,30,13,67,33,81,26,2020
39061024001,152,77,57,84,153,49,165,143,177,117,2020
39061010100,146,157,238,208,188,136,144,235,125,130,2020
39061020802,46,23,23,50,24,18,49,66,50,16,2020
39061020901,116,59,20,64,114,38,126,138,128,94,2020
39061010300,189,239,510,178,349,203,181,282,156,180,2020
39061010400,159,117,171,117,169,97,166,189,169,109,2020
39061010500,114,136,258,131,209,108,110,175,96,103,2020
39061010600,81,90,188,62,152,70,80,133,65,88,2020
39061010700,133,116,146,80,231,80,136,157,139,77,2020
39061010800,248,154,210,136,293,107,263,249,274,208,2020
39061010900,220,189,276,209,297,144,225,247,225,192,2020
39061011000,238,259,510,284,410,195,235,295,220,234,2020
39061011100,68,72,140,205,54,56,67,141,54,29,2020
39061021504,94,64,65,132,118,33,99,90,105,75,2020
39061021505,94,60,73,164,78,37,100,97,108,45,2020
39061022602,100,45,80,10,88,35,110,112,116,59,2020
39061022400,151,78,45,27,189,47,164,110,184,113,2020
39061022500,116,58,29,66,69,54,126,78,146,59,2020
39061023400,129,130,202,58,238,101,129,227,111,93,2020
39061021002,56,28,12,105,17,21,61,86,61,18,2020
39061021003,65,34,18,66,50,23,70,96,67,52,2020
39061020902,114,70,29,94,117,50,122,146,120,97,2020
39061021001,107,59,54,68,99,43,115,124,121,61,2020
39061000200,334,435,829,330,741,332,317,424,289,333,2020
39061000700,400,273,307,92,614,177,422,169,491,360,2020
39061000900,300,404,1066,233,615,341,282,284,306,101,2020
39061001000,352,416,767,447,623,330,342,335,369,155,2020
39061001100,389,502,849,516,759,401,369,367,386,253,2020
39061001600,267,431,1135,212,698,354,239,275,247,121,2020
39061001700,420,560,1168,640,760,462,397,444,403,272,2020
39061001800,293,316,580,251,520,247,289,325,286,245,2020
39061001900,301,225,269,232,426,150,315,274,335,234,2020
39061021422,84,70,117,84,99,55,86,136,77,73,2020
39061021202,57,35,44,43,60,24,61,76,63,25,2020
39061021401,76,37,45,69,41,30,82,111,81,44,2020
39061021571,99,56,63,87,82,41,106,103,116,37,2020
39061021801,137,90,154,104,174,56,145,122,156,102,2020
39061022102,69,51,78,34,106,33,72,91,69,56,2020
39061021101,20,10,15,30,10,7,22,30,21,10,2020
39061020812,59,24,48,40,31,18,65,60,72,16,2020
39061022000,36,16,15,41,9,14,39,31,46,6,2020
39061026102,45,21,22,13,26,20,49,54,51,23,2020
39061022700,244,199,348,89,357,156,252,336,235,236,2020
39061026002,64,27,20,37,19,29,70,82,73,26,2020
39061024322,34,17,15,46,17,12,37,35,42,8,2020
39061024303,33,21,8,84,9,15,35,38,36,19,2020
39061024100,38,20,25,32,31,15,41,31,45,29,2020
39061002000,287,187,316,129,345,137,304,300,318,218,2020
39061002200,290,339,829,158,616,258,281,384,256,286,2020
39061002300,505,520,950,586,734,423,502,480,524,377,2020
39061002500,264,235,377,106,517,151,269,338,231,422,2020
39061002600,263,244,397,30,572,157,267,361,219,446,2020
39061002700,231,250,553,122,469,184,228,319,207,224,2020
39061002800,323,285,473,282,457,220,330,309,345,257,2020
39061002900,199,166,247,72,361,109,205,207,206,189,2020
39061003000,170,127,178,28,364,56,177,163,165,284,2020
39061003200,455,325,430,226,650,221,478,414,485,531,2020
39061022200,89,56,108,49,139,27,95,72,106,59,2020
39061023201,172,91,93,70,141,76,186,134,212,88,2020
39061023800,129,100,139,63,199,69,134,186,125,108,2020
39061024200,80,74,150,56,131,54,81,114,76,66,2020
39061024700,506,52,123,42,129,25,583,84,778,41,2020
39061025300,179,95,48,151,187,54,193,176,211,96,2020
39061025401,223,93,6,61,242,46,245,169,280,115,2020
39061020401,66,47,37,90,30,47,69,87,69,38,2020
39061024321,28,16,6,48,22,9,30,40,30,11,2020
39061023902,46,16,16,24,24,12,51,23,63,15,2020
39061024002,93,54,59,27,132,31,99,68,112,57,2020
