census_tract_id_2010,drive_time_avg,year
39061000200,18,2022
39061000700,13,2022
39061000900,12.9,2022
39061001000,12,2022
39061001100,12,2022
39061001600,12,2022
39061001700,12,2022
39061001800,12,2022
39061001900,12,2022
39061002000,12.4,2022
39061002200,12,2022
39061002300,12,2022
39061002500,12,2022
39061002600,12,2022
39061002700,12,2022
39061002800,14.3,2022
39061002900,12,2022
39061003000,8.4,2022
39061003200,6,2022
39061003300,7.6,2022
39061003600,12,2022
39061003700,12,2022
39061003800,11.9,2022
39061003900,12,2022
39061004000,12.1,2022
39061004100,12.1,2022
39061004200,12.2,2022
39061004500,23.7,2022
39061004602,29.5,2022
39061004603,29.8,2022
39061004604,28.8,2022
39061004605,29.3,2022
39061004701,20.4,2022
39061004702,26.5,2022
39061004800,23.3,2022
39061004900,17.8,2022
39061005000,17.5,2022
39061005100,19.8,2022
39061005200,18,2022
39061005301,18,2022
39061005302,22.6,2022
39061005400,18.3,2022
39061005500,22,2022
39061005600,24.7,2022
39061005701,24,2022
39061005702,20.9,2022
39061005800,23,2022
39061005900,19.5,2022
39061006000,20.4,2022
39061006100,18,2022
39061006300,17.7,2022
39061006400,15,2022
39061006500,11.8,2022
39061006600,10.2,2022
39061006800,7.3,2022
39061006900,6,2022
39061007000,7.7,2022
39061007100,11.1,2022
39061007200,11.9,2022
39061007300,13.9,2022
39061007400,12,2022
39061007500,16.8,2022
39061007700,17.3,2022
39061007800,12.8,2022
39061007900,17.6,2022
39061008000,17.2,2022
39061008100,17.5,2022
39061008201,21.1,2022
39061008202,19.9,2022
39061008300,23.6,2022
39061008400,19.4,2022
39061008501,18.3,2022
39061008502,18,2022
39061008601,18,2022
39061008800,18.7,2022
39061009200,18.6,2022
39061009300,18.5,2022
39061009400,23.4,2022
39061009500,24,2022
39061009600,21.9,2022
39061009700,24,2022
39061009800,23.7,2022
39061009901,25.8,2022
39061009902,24.7,2022
39061010002,20.1,2022
39061010003,23.7,2022
39061010004,24,2022
39061010005,24,2022
39061010100,22.6,2022
39061010201,27.4,2022
39061010202,24,2022
39061010300,23.5,2022
39061010400,32.3,2022
39061010500,36,2022
39061010600,40.9,2022
39061010700,26.8,2022
39061010800,18,2022
39061010900,28.2,2022
39061011000,18,2022
39061011100,19.7,2022
39061020401,41.7,2022
39061020403,38.9,2022
39061020404,37.8,2022
39061020501,33.9,2022
39061020502,37.5,2022
39061020504,39.1,2022
39061020505,32,2022
39061020601,27.9,2022
39061020602,28.7,2022
39061020701,29.4,2022
39061020705,27.7,2022
39061020707,28.4,2022
39061020741,30,2022
39061020742,30,2022
39061020761,24,2022
39061020762,24,2022
39061020802,23.8,2022
39061020811,23.2,2022
39061020812,24.3,2022
39061020901,28.8,2022
39061020902,24.9,2022
39061021001,29.7,2022
39061021002,30,2022
39061021003,30,2022
39061021101,31.6,2022
39061021102,35.8,2022
39061021201,30.5,2022
39061021202,30,2022
39061021302,34.3,2022
39061021303,30,2022
39061021304,31.3,2022
39061021401,28.1,2022
39061021421,29.9,2022
39061021422,24.3,2022
39061021501,35.1,2022
39061021504,35,2022
39061021505,36,2022
39061021506,36,2022
39061021508,38.7,2022
39061021509,32.8,2022
39061021571,36.1,2022
39061021572,35.8,2022
39061021602,27.9,2022
39061021603,30,2022
39061021604,28.7,2022
39061021701,27.7,2022
39061021702,25.5,2022
39061021801,24,2022
39061021802,24,2022
39061021900,24,2022
39061022000,32.7,2022
39061022101,28.7,2022
39061022102,24,2022
39061022200,19.4,2022
39061022301,32.4,2022
39061022302,33.6,2022
39061022400,29.9,2022
39061022500,30.6,2022
39061022601,24.5,2022
39061022602,24,2022
39061022700,24.4,2022
39061023001,31.1,2022
39061023002,30,2022
39061023100,27.5,2022
39061023201,21.4,2022
39061023210,24.4,2022
39061023222,22.1,2022
39061023300,23.5,2022
39061023400,21.2,2022
39061023501,29.4,2022
39061023521,30,2022
39061023522,26,2022
39061023600,24,2022
39061023701,24,2022
39061023702,24,2022
39061023800,23.7,2022
39061023901,30.1,2022
39061023902,28.8,2022
39061024001,24,2022
39061024002,26.4,2022
39061024100,26.7,2022
39061024200,24.6,2022
39061024301,34.5,2022
39061024303,41,2022
39061024321,37.6,2022
39061024322,35.8,2022
39061024400,32.1,2022
39061024700,24,2022
39061024800,28.8,2022
39061024901,33.4,2022
39061024902,33,2022
39061025001,30.1,2022
39061025002,26.2,2022
39061025101,36,2022
39061025102,32.5,2022
39061025103,28.4,2022
39061025104,26.5,2022
39061025200,18,2022
39061025300,18,2022
39061025401,17.4,2022
39061025402,15.3,2022
39061025500,13.5,2022
39061025600,12,2022
39061025700,15.4,2022
39061025800,12,2022
39061026001,40.1,2022
39061026002,39,2022
39061026101,37,2022
39061026102,41.6,2022
39061026200,36.7,2022
39061026300,18,2022
39061026400,17.3,2022
39061026500,15.7,2022
39061026600,18.5,2022
39061026700,12,2022
39061026800,12,2022
39061026900,14,2022
39061027000,7.5,2022
39061027100,18,2022
39061027200,18,2022
39061027300,36,2022
39061027400,22.6,2022
