census_tract_id_2010,n_parcels,n_parcels_near_traffic,n_parcels_near_truck_traffic,n_households,n_households_near_traffic,n_households_near_truck_traffic,median_parcel_traffic,median_household_traffic,median_parcel_truck_traffic,median_household_truck_traffic,frac_households_near_traffic,frac_parcels_near_traffic,frac_households_near_truck_traffic,frac_parcels_near_truck_traffic,year
39061024800,1324,1163,0,1474,1310,0,12958926,13023999,0,0,0.889,0.8780000000000001,0,0,2017
39061024901,409,153,7,462,203,7,0,0,0,0,0.43900000000000006,0.374,0.015,0.017,2017
39061025002,2791,1632,1404,2805,1646,1418,121303,121303,2777,2777,0.587,0.585,0.506,0.503,2017
39061025104,724,409,359,724,409,359,5360470.5,5360470.5,0,0,0.5650000000000001,0.5650000000000001,0.496,0.496,2017
39061025102,2409,1353,300,2449,1393,340,3021663,3021663,0,0,0.5690000000000001,0.562,0.139,0.125,2017
39061024902,2734,750,1,2746,762,1,0,0,0,0,0.277,0.274,0,0,2017
39061025101,1654,861,0,1654,861,0,2006046.5,2006046.5,0,0,0.521,0.521,0,0,2017
39061025001,2318,1329,440,2399,1401,467,4220833.5,4265058.5,0,0,0.584,0.5730000000000001,0.195,0.19,2017
39061008601,639,404,0,775,508,0,5411484,5492867,0,0,0.655,0.632,0,0,2017
39061008800,710,554,0,1278,1105,0,9746208.5,10320845,0,0,0.8650000000000001,0.7799999999999999,0,0,2017
39061009200,829,727,39,1531,1278,51,4337543,5133343,0,0,0.8350000000000001,0.8770000000000001,0.033,0.047,2017
39061009300,775,708,17,1158,956,28,6847400,7260830,0,0,0.8260000000000001,0.914,0.024,0.022,2017
39061009400,416,416,88,580,580,146,7797943.5,10138689.5,0,0,1,1,0.252,0.21200000000000002,2017
39061009500,638,610,331,967,922,501,9568588.5,11136360,513,998.5,0.9530000000000001,0.9560000000000001,0.518,0.519,2017
39061009600,1465,1333,355,2349,2123,418,10491696,11278104,0,0,0.904,0.91,0.17800000000000002,0.24200000000000002,2017
39061027400,1281,832,739,1786,1057,895,72637708,74017368,8722426,9087015,0.592,0.649,0.501,0.5770000000000001,2017
39061027300,990,406,3,993,408,3,0,0,0,0,0.41100000000000003,0.41000000000000003,0.003,0.003,2017
39061025103,2346,1733,1325,2488,1836,1428,16647691,16647691,243968,243968,0.738,0.739,0.5740000000000001,0.5650000000000001,2017
39061006000,1140,1048,732,1802,1650,939,17643335.5,19570799,560814.5,581478,0.916,0.919,0.521,0.642,2017
39061022302,2154,1561,827,2232,1639,866,15065305.5,15214258.5,0,0,0.734,0.725,0.388,0.384,2017
39061023100,1113,473,0,1117,477,0,0,0,0,0,0.42700000000000005,0.42500000000000004,0,0,2017
39061023222,902,548,267,1078,683,369,8618018,8623790.5,0,0,0.634,0.608,0.34199999999999997,0.29600000000000004,2017
39061009700,1476,1324,128,2070,1885,195,9815837,10860058,0,0,0.911,0.897,0.094,0.08700000000000001,2017
39061009800,497,352,230,813,600,458,466222,507260,0,0,0.738,0.708,0.5630000000000001,0.463,2017
39061009901,1572,1085,0,2021,1516,0,4683855.5,4800284,0,0,0.75,0.69,0,0,2017
39061009902,1060,914,0,1570,1419,0,9351389,9824838.5,0,0,0.904,0.8620000000000001,0,0,2017
39061010002,1301,1170,23,2375,2172,101,10202130,11830961,0,0,0.915,0.899,0.043000000000000003,0.018000000000000002,2017
39061010201,1781,1297,423,2638,1964,585,9403034,9578203,0,0,0.745,0.728,0.222,0.23800000000000002,2017
39061010202,829,829,0,1185,1185,0,12160554,13798727,0,0,1,1,0,0,2017
39061023501,1487,430,22,1612,555,100,0,0,0,0,0.344,0.28900000000000003,0.062,0.015,2017
39061023901,1139,765,305,1256,882,305,12237425,12399142,0,0,0.702,0.6719999999999999,0.24300000000000002,0.268,2017
39061024001,1780,1511,513,2041,1769,670,12321960,12404333.5,0,0,0.8670000000000001,0.8490000000000001,0.328,0.28800000000000003,2017
39061010100,1010,1004,35,1825,1818,77,12973160,14823087.5,0,0,0.996,0.994,0.042,0.034999999999999996,2017
39061020802,2077,1259,240,2087,1267,241,7490322,7490322,0,0,0.607,0.606,0.115,0.116,2017
39061020901,1310,911,0,1560,1090,0,7550050,7672888.5,0,0,0.699,0.695,0,0,2017
39061010300,444,443,435,640,639,631,9177264.5,9302781,633919.5,637919,0.998,0.998,0.986,0.98,2017
39061010400,342,334,334,441,433,433,15241592.5,15337751.5,650166,650635,0.982,0.977,0.982,0.977,2017
39061010500,479,257,257,579,338,338,6369400,6419052,417292,420545,0.584,0.537,0.584,0.537,2017
39061010600,520,403,395,587,470,462,11875112,11892679,777999,779150,0.801,0.775,0.7869999999999999,0.76,2017
39061010700,599,593,286,711,702,319,13184439,13999758,0,0,0.987,0.99,0.449,0.47700000000000004,2017
39061010800,204,194,159,282,272,237,94515677,95146455,9832204,9877973.5,0.965,0.9510000000000001,0.8400000000000001,0.779,2017
39061010900,778,778,66,1213,1213,100,20845565,21402469,0,0,1,1,0.082,0.085,2017
39061011000,704,689,390,1335,1310,639,13121272,43422656,173613,286167,0.981,0.979,0.47900000000000004,0.554,2017
39061011100,1309,568,20,1401,660,106,0,0,0,0,0.47100000000000003,0.43400000000000005,0.07600000000000001,0.015,2017
39061021504,1738,281,1,1955,281,1,0,0,0,0,0.14400000000000002,0.162,0.001,0.001,2017
39061021505,1009,596,0,1075,597,0,5873506,5873506,0,0,0.555,0.591,0,0,2017
39061022602,910,550,550,1044,642,642,8507897.5,8523351,379143.5,381236.5,0.615,0.604,0.615,0.604,2017
39061022400,1029,421,223,1047,429,225,0,0,0,0,0.41000000000000003,0.40900000000000003,0.21500000000000002,0.21700000000000003,2017
39061022500,1141,285,285,1312,413,413,0,0,0,0,0.315,0.25,0.315,0.25,2017
39061023400,1272,420,0,1665,527,0,0,0,0,0,0.317,0.32999999999999996,0,0,2017
39061021002,1480,509,20,1484,511,20,0,0,0,0,0.344,0.344,0.013000000000000001,0.014,2017
39061021003,1131,691,87,1178,738,87,2345992,2345992,0,0,0.626,0.611,0.07400000000000001,0.07700000000000001,2017
39061020902,2036,1479,0,2474,1832,0,8628260,8994334.5,0,0,0.741,0.726,0,0,2017
39061021001,1074,1005,114,1264,1195,155,12980877,13085066,0,0,0.9450000000000001,0.936,0.12300000000000001,0.10600000000000001,2017
39061000200,3,3,3,81,81,81,134753840,4944849520,14983991,500769720,1,1,1,1,2017
39061000700,190,190,190,981,981,981,30093898,30583550,328568,329281,1,1,1,1,2017
39061000900,511,511,190,753,753,274,24142818,24550762,0,0,1,1,0.364,0.372,2017
39061001000,382,382,151,639,639,225,20922760,22393774.5,0,0,1,1,0.352,0.395,2017
39061001100,210,210,199,464,464,445,29354471,53729961,1042605.5,1447892,1,1,0.9590000000000001,0.9480000000000001,2017
39061001600,174,174,104,431,431,224,20167694.5,26655086.5,47113.5,49103,1,1,0.52,0.598,2017
39061001700,211,211,100,520,520,221,14154103,20461410,0,0,1,1,0.42500000000000004,0.47400000000000003,2017
39061001800,564,564,249,823,823,371,15055168.5,16840158.5,0,0,1,1,0.451,0.441,2017
39061001900,535,535,206,839,839,271,7778142,8382558,0,0,1,1,0.323,0.385,2017
39061021422,869,390,20,1034,399,20,0,0,0,0,0.386,0.449,0.019,0.023,2017
39061021202,2151,1714,376,2202,1756,386,3454301,3478016,0,0,0.7969999999999999,0.7969999999999999,0.17500000000000002,0.17500000000000002,2017
39061021401,1889,1579,130,2417,1927,130,6732761,6896705,0,0,0.7969999999999999,0.8360000000000001,0.054000000000000006,0.06899999999999999,2017
39061021571,969,599,495,1008,599,495,21039180,21039180,1141647,1141647,0.594,0.618,0.491,0.511,2017
39061021801,1995,1941,1011,2729,2674,1169,18887048,20038745,194799,195465,0.98,0.973,0.42800000000000005,0.507,2017
39061022102,2370,1678,682,2565,1873,828,5798130.5,5798130.5,0,0,0.73,0.708,0.323,0.28800000000000003,2017
39061021101,1821,473,25,1822,473,25,0,0,0,0,0.26,0.26,0.014,0.014,2017
39061020812,1693,618,447,1865,779,591,0,0,0,0,0.41800000000000004,0.365,0.317,0.264,2017
39061022000,1487,547,0,1710,711,0,0,0,0,0,0.41600000000000004,0.368,0,0,2017
39061026102,418,89,81,418,89,81,0,0,0,0,0.21300000000000002,0.21300000000000002,0.194,0.194,2017
